,areacode,sex,code,icd,by,type,rate,order,age
75,510000,合计,120,C73,甲状腺,incidence,0,20,0
76,510000,合计,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0,21,0
77,510000,合计,122,C91-C95,白血病,incidence,2.97,22,0
78,510000,男性,62,ALL,合计,incidence,15.1,0,0
79,510000,男性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,0
80,510000,男性,102,C11,鼻咽,incidence,0,2,0
81,510000,男性,103,C15,食管,incidence,0,3,0
82,510000,男性,104,C16,胃,incidence,0,4,0
83,510000,男性,105,C18-C21,结直肠肛门,incidence,0,5,0
84,510000,男性,106,C22,肝脏,incidence,1.89,6,0
85,510000,男性,107,C23-C24,胆囊及其他,incidence,0,7,0
86,510000,男性,108,C25,胰腺,incidence,0,8,0
87,510000,男性,109,"C10.1,C32",喉,incidence,0,9,0
88,510000,男性,110,C33-C34,气管、支气管、肺,incidence,0,10,0
89,510000,男性,111,C40-C41,骨,incidence,0,11,0
90,510000,男性,116,C61,前列腺,incidence,0,16,0
91,510000,男性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0,17,0
92,510000,男性,118,C67,膀胱,incidence,0,18,0
93,510000,男性,119,C70-C72,脑及中枢神经系统,incidence,1.89,19,0
94,510000,男性,120,C73,甲状腺,incidence,0,20,0
95,510000,男性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0,21,0
96,510000,男性,122,C91-C95,白血病,incidence,1.89,22,0
97,510000,女性,62,ALL,合计,incidence,14.55,0,0
98,510000,女性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,0
99,510000,女性,102,C11,鼻咽,incidence,0,2,0
100,510000,女性,103,C15,食管,incidence,0,3,0
101,510000,女性,104,C16,胃,incidence,0,4,0
102,510000,女性,105,C18-C21,结直肠肛门,incidence,0,5,0
103,510000,女性,106,C22,肝脏,incidence,0,6,0
104,510000,女性,107,C23-C24,胆囊及其他,incidence,0,7,0
105,510000,女性,108,C25,胰腺,incidence,0,8,0
106,510000,女性,109,"C10.1,C32",喉,incidence,0,9,0
107,510000,女性,110,C33-C34,气管、支气管、肺,incidence,0,10,0
108,510000,女性,111,C40-C41,骨,incidence,0,11,0
109,510000,女性,112,C50,乳房,incidence,0,12,0
110,510000,女性,113,C53,子宫颈,incidence,0,13,0
111,510000,女性,114,C54,子宫体,incidence,0,14,0
112,510000,女性,115,C56,卵巢,incidence,0,15,0
113,510000,女性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0,17,0
114,510000,女性,118,C67,膀胱,incidence,0,18,0
115,510000,女性,119,C70-C72,脑及中枢神经系统,incidence,0,19,0
116,510000,女性,120,C73,甲状腺,incidence,0,20,0
117,510000,女性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0,21,0
118,510000,女性,122,C91-C95,白血病,incidence,4.16,22,0
119,520000,合计,62,ALL,合计,incidence,12.66,0,0
120,520000,合计,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,0
121,520000,合计,102,C11,鼻咽,incidence,0,2,0
122,520000,合计,103,C15,食管,incidence,0,3,0
123,520000,合计,104,C16,胃,incidence,0,4,0
124,520000,合计,105,C18-C21,结直肠肛门,incidence,0,5,0
125,520000,合计,106,C22,肝脏,incidence,0.74,6,0
126,520000,合计,107,C23-C24,胆囊及其他,incidence,0,7,0
127,520000,合计,108,C25,胰腺,incidence,0,8,0
128,520000,合计,109,"C10.1,C32",喉,incidence,0,9,0
129,520000,合计,110,C33-C34,气管、支气管、肺,incidence,0,10,0
130,520000,合计,111,C40-C41,骨,incidence,0.74,11,0
131,520000,合计,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.37,17,0
132,520000,合计,118,C67,膀胱,incidence,0.37,18,0
133,520000,合计,119,C70-C72,脑及中枢神经系统,incidence,1.49,19,0
134,520000,合计,120,C73,甲状腺,incidence,0,20,0
135,520000,合计,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,1.12,21,0
136,520000,合计,122,C91-C95,白血病,incidence,3.72,22,0
137,520000,男性,62,ALL,合计,incidence,14.94,0,0
138,520000,男性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,0
139,520000,男性,102,C11,鼻咽,incidence,0,2,0
140,520000,男性,103,C15,食管,incidence,0,3,0
141,520000,男性,104,C16,胃,incidence,0,4,0
142,520000,男性,105,C18-C21,结直肠肛门,incidence,0,5,0
143,520000,男性,106,C22,肝脏,incidence,1.42,6,0
144,520000,男性,107,C23-C24,胆囊及其他,incidence,0,7,0
145,520000,男性,108,C25,胰腺,incidence,0,8,0
146,520000,男性,109,"C10.1,C32",喉,incidence,0,9,0
147,520000,男性,110,C33-C34,气管、支气管、肺,incidence,0,10,0
148,520000,男性,111,C40-C41,骨,incidence,1.42,11,0
149,520000,男性,116,C61,前列腺,incidence,0,16,0
150,520000,男性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.71,17,0
151,520000,男性,118,C67,膀胱,incidence,0.71,18,0
152,520000,男性,119,C70-C72,脑及中枢神经系统,incidence,2.13,19,0
153,520000,男性,120,C73,甲状腺,incidence,0,20,0
154,520000,男性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,2.13,21,0
155,520000,男性,122,C91-C95,白血病,incidence,2.13,22,0
156,520000,女性,62,ALL,合计,incidence,10.16,0,0
157,520000,女性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,0
158,520000,女性,102,C11,鼻咽,incidence,0,2,0
159,520000,女性,103,C15,食管,incidence,0,3,0
160,520000,女性,104,C16,胃,incidence,0,4,0
161,520000,女性,105,C18-C21,结直肠肛门,incidence,0,5,0
162,520000,女性,106,C22,肝脏,incidence,0,6,0
163,520000,女性,107,C23-C24,胆囊及其他,incidence,0,7,0
164,520000,女性,108,C25,胰腺,incidence,0,8,0
165,520000,女性,109,"C10.1,C32",喉,incidence,0,9,0
166,520000,女性,110,C33-C34,气管、支气管、肺,incidence,0,10,0
167,520000,女性,111,C40-C41,骨,incidence,0,11,0
168,520000,女性,112,C50,乳房,incidence,0,12,0
169,520000,女性,113,C53,子宫颈,incidence,0,13,0
170,520000,女性,114,C54,子宫体,incidence,0,14,0
171,520000,女性,115,C56,卵巢,incidence,0,15,0
172,520000,女性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0,17,0
173,520000,女性,118,C67,膀胱,incidence,0,18,0
174,520000,女性,119,C70-C72,脑及中枢神经系统,incidence,0.78,19,0
175,520000,女性,120,C73,甲状腺,incidence,0,20,0
176,520000,女性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0,21,0
177,520000,女性,122,C91-C95,白血病,incidence,5.47,22,0
178,500000,合计,62,ALL,合计,incidence,11.34,0,1
179,500000,合计,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0.23,1,1
180,500000,合计,102,C11,鼻咽,incidence,0,2,1
181,500000,合计,103,C15,食管,incidence,0,3,1
182,500000,合计,104,C16,胃,incidence,0.11,4,1
183,500000,合计,105,C18-C21,结直肠肛门,incidence,0.06,5,1
184,500000,合计,106,C22,肝脏,incidence,0.11,6,1
185,500000,合计,107,C23-C24,胆囊及其他,incidence,0,7,1
186,500000,合计,108,C25,胰腺,incidence,0.11,8,1
187,500000,合计,109,"C10.1,C32",喉,incidence,0,9,1
188,500000,合计,110,C33-C34,气管、支气管、肺,incidence,0,10,1
189,500000,合计,111,C40-C41,骨,incidence,0.69,11,1
190,500000,合计,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.4,17,1
191,500000,合计,118,C67,膀胱,incidence,0.11,18,1
192,500000,合计,119,C70-C72,脑及中枢神经系统,incidence,1.72,19,1
193,500000,合计,120,C73,甲状腺,incidence,0,20,1
194,500000,合计,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0.92,21,1
195,500000,合计,122,C91-C95,白血病,incidence,3.67,22,1
196,500000,男性,62,ALL,合计,incidence,12.01,0,1
197,500000,男性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0.43,1,1
198,500000,男性,102,C11,鼻咽,incidence,0,2,1
199,500000,男性,103,C15,食管,incidence,0,3,1
200,500000,男性,104,C16,胃,incidence,0.22,4,1
201,500000,男性,105,C18-C21,结直肠肛门,incidence,0.11,5,1
202,500000,男性,106,C22,肝脏,incidence,0.11,6,1
203,500000,男性,107,C23-C24,胆囊及其他,incidence,0,7,1
204,500000,男性,108,C25,胰腺,incidence,0.22,8,1
205,500000,男性,109,"C10.1,C32",喉,incidence,0,9,1
206,500000,男性,110,C33-C34,气管、支气管、肺,incidence,0,10,1
207,500000,男性,111,C40-C41,骨,incidence,0.87,11,1
208,500000,男性,116,C61,前列腺,incidence,0,16,1
209,500000,男性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.22,17,1
210,500000,男性,118,C67,膀胱,incidence,0.22,18,1
211,500000,男性,119,C70-C72,脑及中枢神经系统,incidence,1.51,19,1
212,500000,男性,120,C73,甲状腺,incidence,0,20,1
213,500000,男性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0.87,21,1
214,500000,男性,122,C91-C95,白血病,incidence,4.22,22,1
215,500000,女性,62,ALL,合计,incidence,10.59,0,1
216,500000,女性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,1
217,500000,女性,102,C11,鼻咽,incidence,0,2,1
218,500000,女性,103,C15,食管,incidence,0,3,1
219,500000,女性,104,C16,胃,incidence,0,4,1
220,500000,女性,105,C18-C21,结直肠肛门,incidence,0,5,1
221,500000,女性,106,C22,肝脏,incidence,0.12,6,1
222,500000,女性,107,C23-C24,胆囊及其他,incidence,0,7,1
223,500000,女性,108,C25,胰腺,incidence,0,8,1
224,500000,女性,109,"C10.1,C32",喉,incidence,0,9,1
225,500000,女性,110,C33-C34,气管、支气管、肺,incidence,0,10,1
226,500000,女性,111,C40-C41,骨,incidence,0.49,11,1
227,500000,女性,112,C50,乳房,incidence,0,12,1
228,500000,女性,113,C53,子宫颈,incidence,0,13,1
229,500000,女性,114,C54,子宫体,incidence,0,14,1
230,500000,女性,115,C56,卵巢,incidence,0,15,1
231,500000,女性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.61,17,1
232,500000,女性,118,C67,膀胱,incidence,0,18,1
233,500000,女性,119,C70-C72,脑及中枢神经系统,incidence,1.95,19,1
234,500000,女性,120,C73,甲状腺,incidence,0,20,1
235,500000,女性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0.97,21,1
236,500000,女性,122,C91-C95,白血病,incidence,3.04,22,1
237,510000,合计,62,ALL,合计,incidence,9.28,0,1
238,510000,合计,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,1
239,510000,合计,102,C11,鼻咽,incidence,0,2,1
240,510000,合计,103,C15,食管,incidence,0,3,1
241,510000,合计,104,C16,胃,incidence,0,4,1
242,510000,合计,105,C18-C21,结直肠肛门,incidence,0,5,1
243,510000,合计,106,C22,肝脏,incidence,0,6,1
244,510000,合计,107,C23-C24,胆囊及其他,incidence,0,7,1
245,510000,合计,108,C25,胰腺,incidence,0,8,1
246,510000,合计,109,"C10.1,C32",喉,incidence,0,9,1
247,510000,合计,110,C33-C34,气管、支气管、肺,incidence,0,10,1
248,510000,合计,111,C40-C41,骨,incidence,0.23,11,1
249,510000,合计,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0,17,1
250,510000,合计,118,C67,膀胱,incidence,0.23,18,1
251,510000,合计,119,C70-C72,脑及中枢神经系统,incidence,1.39,19,1
252,510000,合计,120,C73,甲状腺,incidence,0,20,1
253,510000,合计,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0.23,21,1
254,510000,合计,122,C91-C95,白血病,incidence,3.48,22,1
255,510000,男性,62,ALL,合计,incidence,9.06,0,1
256,510000,男性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,1
257,510000,男性,102,C11,鼻咽,incidence,0,2,1
258,510000,男性,103,C15,食管,incidence,0,3,1
259,510000,男性,104,C16,胃,incidence,0,4,1
260,510000,男性,105,C18-C21,结直肠肛门,incidence,0,5,1
261,510000,男性,106,C22,肝脏,incidence,0,6,1
262,510000,男性,107,C23-C24,胆囊及其他,incidence,0,7,1
263,510000,男性,108,C25,胰腺,incidence,0,8,1
264,510000,男性,109,"C10.1,C32",喉,incidence,0,9,1
265,510000,男性,110,C33-C34,气管、支气管、肺,incidence,0,10,1
266,510000,男性,111,C40-C41,骨,incidence,0,11,1
267,510000,男性,116,C61,前列腺,incidence,0,16,1
268,510000,男性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0,17,1
269,510000,男性,118,C67,膀胱,incidence,0.45,18,1
270,510000,男性,119,C70-C72,脑及中枢神经系统,incidence,0,19,1
271,510000,男性,120,C73,甲状腺,incidence,0,20,1
272,510000,男性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0,21,1
273,510000,男性,122,C91-C95,白血病,incidence,4.99,22,1
274,510000,女性,62,ALL,合计,incidence,9.5,0,1
275,510000,女性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,1
276,510000,女性,102,C11,鼻咽,incidence,0,2,1
277,510000,女性,103,C15,食管,incidence,0,3,1
278,510000,女性,104,C16,胃,incidence,0,4,1
279,510000,女性,105,C18-C21,结直肠肛门,incidence,0,5,1
280,510000,女性,106,C22,肝脏,incidence,0,6,1
281,510000,女性,107,C23-C24,胆囊及其他,incidence,0,7,1
282,510000,女性,108,C25,胰腺,incidence,0,8,1
283,510000,女性,109,"C10.1,C32",喉,incidence,0,9,1
284,510000,女性,110,C33-C34,气管、支气管、肺,incidence,0,10,1
285,510000,女性,111,C40-C41,骨,incidence,0.47,11,1
286,510000,女性,112,C50,乳房,incidence,0,12,1
287,510000,女性,113,C53,子宫颈,incidence,0,13,1
288,510000,女性,114,C54,子宫体,incidence,0,14,1
289,510000,女性,115,C56,卵巢,incidence,0,15,1
290,510000,女性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0,17,1
291,510000,女性,118,C67,膀胱,incidence,0,18,1
292,510000,女性,119,C70-C72,脑及中枢神经系统,incidence,2.85,19,1
293,510000,女性,120,C73,甲状腺,incidence,0,20,1
294,510000,女性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0.47,21,1
295,510000,女性,122,C91-C95,白血病,incidence,1.9,22,1
296,520000,合计,62,ALL,合计,incidence,12.02,0,1
297,520000,合计,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0.3,1,1
298,520000,合计,102,C11,鼻咽,incidence,0,2,1
299,520000,合计,103,C15,食管,incidence,0,3,1
300,520000,合计,104,C16,胃,incidence,0.15,4,1
301,520000,合计,105,C18-C21,结直肠肛门,incidence,0.08,5,1
302,520000,合计,106,C22,肝脏,incidence,0.15,6,1
303,520000,合计,107,C23-C24,胆囊及其他,incidence,0,7,1
304,520000,合计,108,C25,胰腺,incidence,0.15,8,1
305,520000,合计,109,"C10.1,C32",喉,incidence,0,9,1
306,520000,合计,110,C33-C34,气管、支气管、肺,incidence,0,10,1
307,520000,合计,111,C40-C41,骨,incidence,0.84,11,1
308,520000,合计,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.53,17,1
309,520000,合计,118,C67,膀胱,incidence,0.08,18,1
310,520000,合计,119,C70-C72,脑及中枢神经系统,incidence,1.83,19,1
311,520000,合计,120,C73,甲状腺,incidence,0,20,1
312,520000,合计,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,1.14,21,1
313,520000,合计,122,C91-C95,白血病,incidence,3.73,22,1
314,520000,男性,62,ALL,合计,incidence,12.93,0,1
315,520000,男性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0.57,1,1
316,520000,男性,102,C11,鼻咽,incidence,0,2,1
317,520000,男性,103,C15,食管,incidence,0,3,1
318,520000,男性,104,C16,胃,incidence,0.28,4,1
319,520000,男性,105,C18-C21,结直肠肛门,incidence,0.14,5,1
320,520000,男性,106,C22,肝脏,incidence,0.14,6,1
321,520000,男性,107,C23-C24,胆囊及其他,incidence,0,7,1
322,520000,男性,108,C25,胰腺,incidence,0.28,8,1
323,520000,男性,109,"C10.1,C32",喉,incidence,0,9,1
324,520000,男性,110,C33-C34,气管、支气管、肺,incidence,0,10,1
325,520000,男性,111,C40-C41,骨,incidence,1.14,11,1
326,520000,男性,116,C61,前列腺,incidence,0,16,1
327,520000,男性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.28,17,1
328,520000,男性,118,C67,膀胱,incidence,0.14,18,1
329,520000,男性,119,C70-C72,脑及中枢神经系统,incidence,1.99,19,1
330,520000,男性,120,C73,甲状腺,incidence,0,20,1
331,520000,男性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,1.14,21,1
332,520000,男性,122,C91-C95,白血病,incidence,3.98,22,1
333,520000,女性,62,ALL,合计,incidence,10.96,0,1
334,520000,女性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0,1,1
335,520000,女性,102,C11,鼻咽,incidence,0,2,1
336,520000,女性,103,C15,食管,incidence,0,3,1
337,520000,女性,104,C16,胃,incidence,0,4,1
338,520000,女性,105,C18-C21,结直肠肛门,incidence,0,5,1
339,520000,女性,106,C22,肝脏,incidence,0.16,6,1
340,520000,女性,107,C23-C24,胆囊及其他,incidence,0,7,1
341,520000,女性,108,C25,胰腺,incidence,0,8,1
342,520000,女性,109,"C10.1,C32",喉,incidence,0,9,1
343,520000,女性,110,C33-C34,气管、支气管、肺,incidence,0,10,1
344,520000,女性,111,C40-C41,骨,incidence,0.49,11,1
345,520000,女性,112,C50,乳房,incidence,0,12,1
346,520000,女性,113,C53,子宫颈,incidence,0,13,1
347,520000,女性,114,C54,子宫体,incidence,0,14,1
348,520000,女性,115,C56,卵巢,incidence,0,15,1
349,520000,女性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.82,17,1
350,520000,女性,118,C67,膀胱,incidence,0,18,1
351,520000,女性,119,C70-C72,脑及中枢神经系统,incidence,1.64,19,1
352,520000,女性,120,C73,甲状腺,incidence,0,20,1
353,520000,女性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,1.15,21,1
354,520000,女性,122,C91-C95,白血病,incidence,3.44,22,1
355,500000,合计,62,ALL,合计,incidence,10.74,0,5
356,500000,合计,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0.45,1,5
357,500000,合计,102,C11,鼻咽,incidence,0.04,2,5
358,500000,合计,103,C15,食管,incidence,0,3,5
359,500000,合计,104,C16,胃,incidence,0.31,4,5
360,500000,合计,105,C18-C21,结直肠肛门,incidence,0.04,5,5
361,500000,合计,106,C22,肝脏,incidence,0.09,6,5
362,500000,合计,107,C23-C24,胆囊及其他,incidence,0,7,5
363,500000,合计,108,C25,胰腺,incidence,0,8,5
364,500000,合计,109,"C10.1,C32",喉,incidence,0.04,9,5
365,500000,合计,110,C33-C34,气管、支气管、肺,incidence,0,10,5
366,500000,合计,111,C40-C41,骨,incidence,0.58,11,5
367,500000,合计,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.36,17,5
368,500000,合计,118,C67,膀胱,incidence,0,18,5
369,500000,合计,119,C70-C72,脑及中枢神经系统,incidence,2.07,19,5
370,500000,合计,120,C73,甲状腺,incidence,0.09,20,5
371,500000,合计,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,1.17,21,5
372,500000,合计,122,C91-C95,白血病,incidence,2.92,22,5
373,500000,男性,62,ALL,合计,incidence,11.63,0,5
374,500000,男性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0.59,1,5
375,500000,男性,102,C11,鼻咽,incidence,0.08,2,5
376,500000,男性,103,C15,食管,incidence,0,3,5
377,500000,男性,104,C16,胃,incidence,0.34,4,5
378,500000,男性,105,C18-C21,结直肠肛门,incidence,0.08,5,5
379,500000,男性,106,C22,肝脏,incidence,0.17,6,5
380,500000,男性,107,C23-C24,胆囊及其他,incidence,0,7,5
381,500000,男性,108,C25,胰腺,incidence,0,8,5
382,500000,男性,109,"C10.1,C32",喉,incidence,0.08,9,5
383,500000,男性,110,C33-C34,气管、支气管、肺,incidence,0,10,5
384,500000,男性,111,C40-C41,骨,incidence,0.59,11,5
385,500000,男性,116,C61,前列腺,incidence,0.08,16,5
386,500000,男性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.42,17,5
387,500000,男性,118,C67,膀胱,incidence,0,18,5
388,500000,男性,119,C70-C72,脑及中枢神经系统,incidence,1.94,19,5
389,500000,男性,120,C73,甲状腺,incidence,0,20,5
390,500000,男性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,1.6,21,5
391,500000,男性,122,C91-C95,白血病,incidence,3.29,22,5
392,500000,女性,62,ALL,合计,incidence,9.72,0,5
393,500000,女性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0.29,1,5
394,500000,女性,102,C11,鼻咽,incidence,0,2,5
395,500000,女性,103,C15,食管,incidence,0,3,5
396,500000,女性,104,C16,胃,incidence,0.29,4,5
397,500000,女性,105,C18-C21,结直肠肛门,incidence,0,5,5
398,500000,女性,106,C22,肝脏,incidence,0,6,5
399,500000,女性,107,C23-C24,胆囊及其他,incidence,0,7,5
400,500000,女性,108,C25,胰腺,incidence,0,8,5
401,500000,女性,109,"C10.1,C32",喉,incidence,0,9,5
402,500000,女性,110,C33-C34,气管、支气管、肺,incidence,0,10,5
403,500000,女性,111,C40-C41,骨,incidence,0.58,11,5
404,500000,女性,112,C50,乳房,incidence,0,12,5
405,500000,女性,113,C53,子宫颈,incidence,0,13,5
406,500000,女性,114,C54,子宫体,incidence,0,14,5
407,500000,女性,115,C56,卵巢,incidence,0.19,15,5
408,500000,女性,117,"C64-C66,C68",肾及泌尿系统不明,incidence,0.29,17,5
409,500000,女性,118,C67,膀胱,incidence,0,18,5
410,500000,女性,119,C70-C72,脑及中枢神经系统,incidence,2.21,19,5
411,500000,女性,120,C73,甲状腺,incidence,0.19,20,5
412,500000,女性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,incidence,0.67,21,5
413,500000,女性,122,C91-C95,白血病,incidence,2.5,22,5
414,510000,合计,62,ALL,合计,incidence,7.42,0,5
415,510000,合计,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,incidence,0.36,1,5
416,510000,合计,102,C11,鼻咽,incidence,0,2,5
417,510000,合计,103,C15,食管,incidence,0,3,5
418,510000,合计,104,C16,胃,incidence,0,4,5
419,510000,合计,105,C18-C21,结直肠肛门,incidence,0,5,5
420,510000,合计,106,C22,肝脏,incidence,0.18,6,5
421,510000,合计,107,C23-C24,胆囊及其他,incidence,0,7,5
