,areacode,name,sex,code,icd,by,rate,constitute,type
40,500000,全省,男性,118,C67,膀胱,2.47,1.27,mortality
41,500000,全省,男性,119,C70-C72,脑及中枢神经系统,4.53,2.33,mortality
42,500000,全省,男性,120,C73,甲状腺,0.47,0.24,mortality
43,500000,全省,男性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,2.32,1.2,mortality
44,500000,全省,男性,122,C91-C95,白血病,3.45,1.78,mortality
45,500000,全省,女性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,1.13,0.88,mortality
46,500000,全省,女性,102,C11,鼻咽,0.41,0.32,mortality
47,500000,全省,女性,103,C15,食管,16.75,13.04,mortality
48,500000,全省,女性,104,C16,胃,15.34,11.94,mortality
49,500000,全省,女性,105,C18-C21,结直肠肛门,8.88,6.91,mortality
50,500000,全省,女性,106,C22,肝脏,13.96,10.86,mortality
51,500000,全省,女性,107,C23-C24,胆囊及其他,3.41,2.65,mortality
52,500000,全省,女性,108,C25,胰腺,3.24,2.52,mortality
53,500000,全省,女性,109,"C10.1,C32",喉,0.26,0.2,mortality
54,500000,全省,女性,110,C33-C34,气管、支气管、肺,24.77,19.29,mortality
55,500000,全省,女性,111,C40-C41,骨,0.94,0.73,mortality
56,500000,全省,女性,112,C50,乳房,10.58,8.24,mortality
57,500000,全省,女性,113,C53,子宫颈,6.11,4.75,mortality
58,500000,全省,女性,114,C54,子宫体,2.41,1.87,mortality
59,500000,全省,女性,115,C56,卵巢,3.06,2.38,mortality
60,500000,全省,女性,116,C61,前列腺,0,0,mortality
61,500000,全省,女性,117,"C64-C66,C68",肾及泌尿系统不明,1.05,0.82,mortality
62,500000,全省,女性,118,C67,膀胱,0.93,0.72,mortality
63,500000,全省,女性,119,C70-C72,脑及中枢神经系统,3.48,2.71,mortality
64,500000,全省,女性,120,C73,甲状腺,0.92,0.72,mortality
65,500000,全省,女性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,1.79,1.4,mortality
66,500000,全省,女性,122,C91-C95,白血病,2.36,1.84,mortality
67,510000,城市地区,合计,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,1.35,0.86,mortality
68,510000,城市地区,合计,102,C11,鼻咽,0.6,0.38,mortality
69,510000,城市地区,合计,103,C15,食管,15.63,9.92,mortality
70,510000,城市地区,合计,104,C16,胃,21.58,13.7,mortality
71,510000,城市地区,合计,105,C18-C21,结直肠肛门,10.75,6.83,mortality
72,510000,城市地区,合计,106,C22,肝脏,20.93,13.29,mortality
73,510000,城市地区,合计,107,C23-C24,胆囊及其他,3.4,2.16,mortality
74,510000,城市地区,合计,108,C25,胰腺,4.72,3,mortality
75,510000,城市地区,合计,109,"C10.1,C32",喉,0.84,0.53,mortality
76,510000,城市地区,合计,110,C33-C34,气管、支气管、肺,40.41,25.66,mortality
77,510000,城市地区,合计,111,C40-C41,骨,0.98,0.63,mortality
78,510000,城市地区,合计,112,C50,乳房,10.66,3.37,mortality
79,510000,城市地区,合计,113,C53,子宫颈,5.46,1.73,mortality
80,510000,城市地区,合计,114,C54,子宫体,2.07,0.65,mortality
81,510000,城市地区,合计,115,C56,卵巢,3.44,1.09,mortality
82,510000,城市地区,合计,116,C61,前列腺,3.76,1.2,mortality
83,510000,城市地区,合计,117,"C64-C66,C68",肾及泌尿系统不明,2,1.27,mortality
84,510000,城市地区,合计,118,C67,膀胱,2.17,1.38,mortality
85,510000,城市地区,合计,119,C70-C72,脑及中枢神经系统,4.13,2.62,mortality
86,510000,城市地区,合计,120,C73,甲状腺,0.73,0.46,mortality
87,510000,城市地区,合计,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,2.52,1.6,mortality
88,510000,城市地区,合计,122,C91-C95,白血病,3.13,1.99,mortality
89,510000,城市地区,男性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,1.71,0.88,mortality
90,510000,城市地区,男性,102,C11,鼻咽,0.65,0.33,mortality
91,510000,城市地区,男性,103,C15,食管,20.48,10.52,mortality
92,510000,城市地区,男性,104,C16,胃,31.32,16.09,mortality
93,510000,城市地区,男性,105,C18-C21,结直肠肛门,12.35,6.35,mortality
94,510000,城市地区,男性,106,C22,肝脏,28.92,14.85,mortality
95,510000,城市地区,男性,107,C23-C24,胆囊及其他,2.8,1.44,mortality
96,510000,城市地区,男性,108,C25,胰腺,5.08,2.61,mortality
97,510000,城市地区,男性,109,"C10.1,C32",喉,1.36,0.7,mortality
98,510000,城市地区,男性,110,C33-C34,气管、支气管、肺,57.21,29.39,mortality
99,510000,城市地区,男性,111,C40-C41,骨,1.07,0.55,mortality
100,510000,城市地区,男性,112,C50,乳房,0.24,0.13,mortality
101,510000,城市地区,男性,113,C53,子宫颈,0,0,mortality
102,510000,城市地区,男性,114,C54,子宫体,0,0,mortality
103,510000,城市地区,男性,115,C56,卵巢,0,0,mortality
104,510000,城市地区,男性,116,C61,前列腺,3.76,1.93,mortality
105,510000,城市地区,男性,117,"C64-C66,C68",肾及泌尿系统不明,2.63,1.35,mortality
106,510000,城市地区,男性,118,C67,膀胱,3.43,1.76,mortality
107,510000,城市地区,男性,119,C70-C72,脑及中枢神经系统,4.87,2.5,mortality
108,510000,城市地区,男性,120,C73,甲状腺,0.4,0.21,mortality
109,510000,城市地区,男性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,2.83,1.45,mortality
110,510000,城市地区,男性,122,C91-C95,白血病,3.61,1.85,mortality
111,510000,城市地区,女性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,0.99,0.82,mortality
112,510000,城市地区,女性,102,C11,鼻咽,0.56,0.47,mortality
113,510000,城市地区,女性,103,C15,食管,10.73,8.94,mortality
114,510000,城市地区,女性,104,C16,胃,11.74,9.79,mortality
115,510000,城市地区,女性,105,C18-C21,结直肠肛门,9.13,7.61,mortality
116,510000,城市地区,女性,106,C22,肝脏,12.86,10.72,mortality
117,510000,城市地区,女性,107,C23-C24,胆囊及其他,4,3.34,mortality
118,510000,城市地区,女性,108,C25,胰腺,4.36,3.64,mortality
119,510000,城市地区,女性,109,"C10.1,C32",喉,0.31,0.26,mortality
120,510000,城市地区,女性,110,C33-C34,气管、支气管、肺,23.45,19.55,mortality
121,510000,城市地区,女性,111,C40-C41,骨,0.9,0.75,mortality
122,510000,城市地区,女性,112,C50,乳房,10.66,8.89,mortality
123,510000,城市地区,女性,113,C53,子宫颈,5.46,4.56,mortality
124,510000,城市地区,女性,114,C54,子宫体,2.07,1.72,mortality
125,510000,城市地区,女性,115,C56,卵巢,3.44,2.87,mortality
126,510000,城市地区,女性,116,C61,前列腺,0,0,mortality
127,510000,城市地区,女性,117,"C64-C66,C68",肾及泌尿系统不明,1.37,1.14,mortality
128,510000,城市地区,女性,118,C67,膀胱,0.9,0.75,mortality
129,510000,城市地区,女性,119,C70-C72,脑及中枢神经系统,3.37,2.81,mortality
130,510000,城市地区,女性,120,C73,甲状腺,1.06,0.88,mortality
131,510000,城市地区,女性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,2.2,1.84,mortality
132,510000,城市地区,女性,122,C91-C95,白血病,2.65,2.21,mortality
133,520000,农村地区,合计,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,1.55,0.94,mortality
134,520000,农村地区,合计,102,C11,鼻咽,0.58,0.35,mortality
135,520000,农村地区,合计,103,C15,食管,24.82,15.15,mortality
136,520000,农村地区,合计,104,C16,胃,26.61,16.24,mortality
137,520000,农村地区,合计,105,C18-C21,结直肠肛门,8.92,5.44,mortality
138,520000,农村地区,合计,106,C22,肝脏,22.49,13.72,mortality
139,520000,农村地区,合计,107,C23-C24,胆囊及其他,2.84,1.73,mortality
140,520000,农村地区,合计,108,C25,胰腺,3.2,1.95,mortality
141,520000,农村地区,合计,109,"C10.1,C32",喉,0.77,0.47,mortality
142,520000,农村地区,合计,110,C33-C34,气管、支气管、肺,40.26,24.57,mortality
143,520000,农村地区,合计,111,C40-C41,骨,1.23,0.75,mortality
144,520000,农村地区,合计,112,C50,乳房,10.55,3.11,mortality
145,520000,农村地区,合计,113,C53,子宫颈,6.35,1.87,mortality
146,520000,农村地区,合计,114,C54,子宫体,2.53,0.75,mortality
147,520000,农村地区,合计,115,C56,卵巢,2.91,0.86,mortality
148,520000,农村地区,合计,116,C61,前列腺,2.33,0.73,mortality
149,520000,农村地区,合计,117,"C64-C66,C68",肾及泌尿系统不明,1.16,0.71,mortality
150,520000,农村地区,合计,118,C67,膀胱,1.55,0.95,mortality
151,520000,农村地区,合计,119,C70-C72,脑及中枢神经系统,3.98,2.43,mortality
152,520000,农村地区,合计,120,C73,甲状腺,0.67,0.41,mortality
153,520000,农村地区,合计,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,1.9,1.16,mortality
154,520000,农村地区,合计,122,C91-C95,白血病,2.84,1.73,mortality
155,520000,农村地区,男性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,1.89,0.97,mortality
156,520000,农村地区,男性,102,C11,鼻咽,0.78,0.4,mortality
157,520000,农村地区,男性,103,C15,食管,30.26,15.59,mortality
158,520000,农村地区,男性,104,C16,胃,35.88,18.49,mortality
159,520000,农村地区,男性,105,C18-C21,结直肠肛门,9.04,4.66,mortality
160,520000,农村地区,男性,106,C22,肝脏,30.09,15.51,mortality
161,520000,农村地区,男性,107,C23-C24,胆囊及其他,2.52,1.3,mortality
162,520000,农村地区,男性,108,C25,胰腺,3.56,1.83,mortality
163,520000,农村地区,男性,109,"C10.1,C32",喉,1.27,0.65,mortality
164,520000,农村地区,男性,110,C33-C34,气管、支气管、肺,54.31,27.99,mortality
165,520000,农村地区,男性,111,C40-C41,骨,1.49,0.77,mortality
166,520000,农村地区,男性,112,C50,乳房,0.3,0.16,mortality
167,520000,农村地区,男性,113,C53,子宫颈,0,0,mortality
168,520000,农村地区,男性,114,C54,子宫体,0,0,mortality
169,520000,农村地区,男性,115,C56,卵巢,0,0,mortality
170,520000,农村地区,男性,116,C61,前列腺,2.33,1.2,mortality
171,520000,农村地区,男性,117,"C64-C66,C68",肾及泌尿系统不明,1.38,0.71,mortality
172,520000,农村地区,男性,118,C67,膀胱,2.13,1.1,mortality
173,520000,农村地区,男性,119,C70-C72,脑及中枢神经系统,4.41,2.27,mortality
174,520000,农村地区,男性,120,C73,甲状腺,0.49,0.25,mortality
175,520000,农村地区,男性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,2.14,1.1,mortality
176,520000,农村地区,男性,122,C91-C95,白血病,3.39,1.75,mortality
177,520000,农村地区,女性,101,C00-C10;C12-C14,口腔和咽（除外鼻咽）,1.18,0.9,mortality
178,520000,农村地区,女性,102,C11,鼻咽,0.36,0.27,mortality
179,520000,农村地区,女性,103,C15,食管,19.03,14.45,mortality
180,520000,农村地区,女性,104,C16,胃,16.71,12.69,mortality
181,520000,农村地区,女性,105,C18-C21,结直肠肛门,8.79,6.67,mortality
182,520000,农村地区,女性,106,C22,肝脏,14.37,10.91,mortality
183,520000,农村地区,女性,107,C23-C24,胆囊及其他,3.19,2.42,mortality
184,520000,农村地区,女性,108,C25,胰腺,2.81,2.14,mortality
185,520000,农村地区,女性,109,"C10.1,C32",喉,0.24,0.18,mortality
186,520000,农村地区,女性,110,C33-C34,气管、支气管、肺,25.27,19.19,mortality
187,520000,农村地区,女性,111,C40-C41,骨,0.95,0.72,mortality
188,520000,农村地区,女性,112,C50,乳房,10.55,8.02,mortality
189,520000,农村地区,女性,113,C53,子宫颈,6.35,4.82,mortality
190,520000,农村地区,女性,114,C54,子宫体,2.53,1.92,mortality
191,520000,农村地区,女性,115,C56,卵巢,2.91,2.21,mortality
192,520000,农村地区,女性,116,C61,前列腺,0,0,mortality
193,520000,农村地区,女性,117,"C64-C66,C68",肾及泌尿系统不明,0.93,0.7,mortality
194,520000,农村地区,女性,118,C67,膀胱,0.94,0.72,mortality
195,520000,农村地区,女性,119,C70-C72,脑及中枢神经系统,3.52,2.67,mortality
196,520000,农村地区,女性,120,C73,甲状腺,0.87,0.66,mortality
197,520000,农村地区,女性,121,"C81-C85,C88,C90,C96",恶性淋巴瘤,1.64,1.25,mortality
198,520000,农村地区,女性,122,C91-C95,白血病,2.25,1.71,mortality
